Cyprus 1 Division,,Alki Larnaka FC,Ethnikos Achnas FC,1-6,7,1-2,0-4,26,78,34,111,8,10,7,26,18,35,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11,0,12,47.8,14,60.9,9,39.1,11,4,0,7,36.4,5,45.5,6,54.5,12,7,0,5,58.3,9,75,3,25
Slovenia 1.Liga,,Maribor,NK Rudar Velenje,1-0,1,0-0,1-0,2,17,7,38,35,77,24,92,8,40,14,52,25,10,2,13,40,10,40,14,56,13,5,1,7,38.5,5,38.5,7,53.8,12,5,1,6,41.7,5,41.7,7,58.3,25,9,1,15,36,11,44,10,40,12,4,0,8,33.3,6,50,5,41.7,13,5,1,7,38.5,5,38.5,5,38.5
Russian National Football League,,Alania Vladikavkaz,Khimik Dzerzhinsk,4-0,4,0-0,4-0,49,127,31,79,12,32,10,29,20,49,20,44,5,2,0,3,40,2,40,2,40,3,1,0,2,33.3,2,66.7,1,33.3,2,1,0,1,50,0,0,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbian Superliga,"Partly cloudy, 23℃～24℃",Crvena Zvezda,Radnik Surdulica,6-0,6,2-0,4-0,7,21,4,27,25,54,22,86,17,31,12,54,25,9,2,14,36,8,32,15,60,12,4,2,6,33.3,4,33.3,7,58.3,13,5,0,8,38.5,4,30.8,8,61.5,26,12,4,10,46.2,13,50,13,50,13,7,1,5,53.8,8,61.5,5,38.5,13,5,3,5,38.5,5,38.5,8,61.5
Northern Ireland Premier League,,Ards FC,Ballinamallard United,2-0,2,1-0,1-0,45,19,5,24,49,19,5,24,1,1,0,0,100,1,100,0,0,1,1,0,0,100,1,100,0,0,,,,,,,,,,1,1,0,0,100,0,0,1,100,,,,,,,,,,1,1,0,0,100,0,0,1,100,2.04,2.19,3.15,,3.20,2.87,0/0.5,,0.81,0.92,1.03,0.92,2.5/3,,1.02,0.94,0.80,0.88
Russian National Football League,,Volga Nizhny Novgorod,Yenisey Krasnoyarsk,3-2,5,1-2,2-0,25,52,14,55,6,21,6,28,21,37,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1
Belgian Second Division,,FC Brussels,KSK Heist,5-0,5,1-0,4-0,23,34,6,34,20,21,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,3,40,3,60,2,40,2,1,0,1,50,1,50,1,50,3,1,0,2,33.3,2,66.7,1,33.3,2.37,1.97,3.20,3.30,2.75,3.45,0/0.5,0.5,1.04,0.98,0.86,0.92,2.5,,1.12,1.08,0.77,0.80
Ukrainian Premier League,,Olimpic Donetsk,Metalurh Zaporizhya,3-0,3,0-0,3-0,6,18,7,32,16,65,24,102,9,36,16,68,23,9,0,14,39.1,10,43.5,13,56.5,12,3,0,9,25,7,58.3,5,41.7,11,6,0,5,54.5,3,27.3,8,72.7,3,2,1,0,66.7,2,66.7,1,33.3,2,2,0,0,100,1,50,1,50,1,0,1,0,0,1,100,0,0
Russian National Football League,,Khimik Dzerzhinsk,Neftekhimik Nizhnekamsk,0-0,0,0-0,0-0,27,79,11,64,12,25,6,20,20,53,10,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19,2,6,70.4,11,40.7,13,48.1,13,7,2,4,53.8,6,46.2,6,46.2,14,12,0,2,85.7,5,35.7,7,50
Russian National Football League,,Baltika Kaliningrad,Yenisey Krasnoyarsk,0-0,0,0-0,0-0,6,21,6,28,25,52,14,55,21,37,10,43,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1
